Territory,LOCATION_NAME,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,WS_TERRITORY,WEIGHT FACTOR,AWS
CENTRAL,CHUKA,bathing soap,SAWA SOAP,609.47,0.005837337,0.003997647,,0.277990862,
CENTRAL,CHUKA,detergent,RAINBOW,1.44,0.001475883,0.007579745,,0.011693834,
CENTRAL,CHUKA,detergent,USHINDI DETERGENT,0,0,0,64.84676405,,
CENTRAL,CHUKA,dishwashing liquid,USHINDI DISHWASHING LIQUID,121.79625,0.005982509,0.001674289,,0.10422587,
CENTRAL,CHUKA,dishwashing paste,USHINDI DISHWASHING PASTE,59.6,0.002927492,0.000819299,,0.068332951,
CENTRAL,CHUKA,fat,DIRIA,228,0.005143763,0.007933815,47.16697108,0.022728418,1.072030638
CENTRAL,CHUKA,fat,FRYKING,132,0.195830231,0.048210373,48.03585969,0.195830231,9.406873491
CENTRAL,CHUKA,fat,FRYMATE,1599.5,0.055717198,0.042007427,37.92318682,0.217536222,8.249666788
CENTRAL,CHUKA,fat,MPISHI POA,326.522,0.018458818,0.014589609,41.53469221,0.047081616,1.955520421
CENTRAL,CHUKA,glycerine,SAWA GLYCERINE,87.13490972,0.00083438,0.000571537,,0.185203041,
CENTRAL,CHUKA,lotion,BELLEZA,150.6015,0.091243961,0.018930051,,0.272301316,
CENTRAL,CHUKA,lotion,FRESCO,132.8719583,0.135069409,0.023871303,,0.323622238,
CENTRAL,CHUKA,margarine,ONJA,105.5,0.043175059,0.023879584,95.89977833,0.27899271,26.75533908
CENTRAL,CHUKA,milking jelly,SAWA MILKING JELLY,516.8813333,0.004950518,0.003390337,,0.342138761,
CENTRAL,CHUKA,oil,FRESH FRI,15718.0555,0.213390946,0.057038617,44.40835361,0.678080153,30.11242323
CENTRAL,CHUKA,oil,POPCO,2614.891333,0.029597555,0.014816572,44.00430178,0.029597555,1.302419749
CENTRAL,CHUKA,oil,SALIT,34047.34383,0.317787852,0.030183592,33.57641678,0.452493724,15.19311787
CENTRAL,CHUKA,petroleum jelly,SAWA PETROLLEUM JELLY,24.99,0.000239152,0.000163915,,0.273128777,
CENTRAL,CHUKA,toilet soap,SAWA SOAP,3349.581833,0.032082296,0.021970638,,0.199939158,
CENTRAL,EMBU,bar soap,NDUME,326.05,0.002580915,0.000442103,10.97780161,0.002580915,0.028332774
CENTRAL,EMBU,bar soap,USHINDI BAR,1866.05,0.09165849,0.025651908,58.4682421,0.264680435,15.47539973
CENTRAL,EMBU,bar soap,WHITEWASH,2005.75,0.029391767,0.017077677,,0.072556301,
CENTRAL,EMBU,bathing soap,4U,12,0.000208912,0.000956614,,0.006511628,
WESTERN,BONDO,bathing soap,AFRISENSE,332.195,0.300415246,0.137769649,,0.773591609,
CENTRAL,EMBU,bathing soap,DETREX,611.9475,0.018281619,0.020592089,66.28906039,0.099969531,6.626886278
